738	96	692	217	610	30	628	384	155
18	385	81	508	440	790	297	195	156
528	606	872	627	183	323	752	56	835
864	225	559	895	715	1	428	70	471
547	197	590	953	414	855	110	257	381
314	187	927	185	976	945	885	889	942
163	982	443	308	230	170	351	675	427
109	908	109	517	86	145	144	571	688
618	491	477	77	666	400	829	130	503
46	866	173	522	970	758	146	789	259
108	758	122	228	999	316	550	527	936
798	225	948	367	242	536	871	886	639
129	655	618	946	439	466	358	309	417
463	678	19	372	206	645	582	584	212
971	849	930	44	272	851	754	666	277
596	529	54	684	100	462	757	816	867
315	869	620	439	51	949	562	258	775
89	186	414	670	647	186	760	285	197
345	126	591	563	667	192	715	745	723
348	783	699	232	872	839	36	536	942
178	226	644	928	767	52	850	913	896
678	872	406	809	466	702	441	729	292
177	538	85	868	793	148	515	164	95
45	784	651	218	276	56	457	721	471
940	70	394	551	552	136	687	901	403
274	103	909	8	753	761	98	732	647
961	486	326	924	388	789	561	30	881
154	655	869	382	576	388	22	13	72
172	694	395	129	930	241	395	459	886
341	234	175	140	260	433	898	306	136
785	205	208	546	28	510	943	967	712
650	428	220	693	676	179	543	822	741
540	31	718	71	458	89	358	822	646
537	787	466	311	796	297	521	503	14
595	974	456	821	102	231	896	414	659
621	435	518	359	928	643	343	517	784
314	767	519	992	90	768	902	984	567
586	640	839	688	370	382	806	75	640
667	997	921	542	422	162	860	792	566
180	524	57	719	413	250	831	760	645
449	802	504	357	747	467	68	398	909
531	947	255	769	502	380	222	774	343
917	270	313	98	320	689	143	963	766
983	484	542	422	11	618	553	542	137
182	111	884	554	548	619	661	76	649
716	124	886	296	971	531	379	18	106
256	152	414	48	56	675	405	800	100
750	666	207	777	76	22	58	280	201
749	513	676	5	945	35	248	428	239
563	729	669	730	614	514	278	842	121
491	533	30	847	195	238	257	94	197
309	952	516	664	224	923	747	135	901
676	174	516	454	741	818	337	218	777
241	283	805	73	148	357	894	61	457
925	936	976	380	742	320	359	161	256
686	43	942	943	475	621	612	356	597
126	292	455	457	600	186	633	48	9
664	283	603	681	589	53	702	653	826
712	253	645	413	806	304	156	503	204
531	487	347	844	901	105	327	780	823
499	895	792	651	447	235	874	87	639
990	527	350	647	119	303	998	455	197
755	201	615	148	839	140	121	226	177
725	955	633	652	231	669	223	874	66
789	630	854	801	418	727	943	811	787
4	996	392	935	540	566	404	342	120
494	462	118	962	150	941	1	464	240
264	30	713	659	72	429	442	549	948
647	935	285	745	355	857	232	612	252
749	383	113	792	456	588	940	862	189
661	943	112	237	573	62	190	277	819
702	458	787	418	321	22	836	488	672
274	747	734	45	879	751	156	716	594
492	859	38	972	347	805	446	40	551
497	480	498	21	539	800	345	578	825
196	54	56	934	360	364	642	134	543
972	910	852	224	759	425	608	296	604
217	137	763	109	43	310	494	786	234
184	120	746	43	791	881	435	270	196
492	696	364	621	770	385	512	309	579
849	100	767	411	665	306	329	575	762
861	979	484	855	571	1	461	387	647
316	159	380	881	148	768	439	635	36
406	922	113	382	247	291	296	67	220
252	654	637	993	612	655	442	976	171
96	317	292	333	223	404	738	448	783
111	601	629	63	83	74	50	497	58
337	956	123	352	937	901	657	542	347
595	40	7	917	841	152	293	810	142
477	43	663	233	129	328	37	203	569
221	664	607	70	777	153	845	924	328
189	332	672	917	510	879	785	607	500
706	619	4	674	815	715	326	726	556
740	369	568	640	579	491	789	506	715
375	349	877	228	230	570	626	852	545
607	887	350	789	359	746	138	363	478
